Yield_Target_ton,Scenario_ID,Hour,Wind_Power_MW,Solar_Power_MW,Total_Elec_Load_MW,Grid_Buy_MW,Grid_Sell_MW,Thermal_Load_MW,EB_Power_MW,WHRU_Heat_MW,ALKEL_Power_MW,PEMEL_Power_MW,AMU_Power_MW
72,1,1,9.776,0,42.8698,33.0938,0,3.1934,0,3.1934,20,20,1.5
72,1,2,10.904,0,42.5998,31.6958,0,3.27285,0,3.27285,20,20,1.5
72,1,3,15.152,0,42.2998,27.1478,0,3.3187,0,3.3187,20,20,1.5
72,1,4,13.312,0,42.49,29.178,0,3.22525,0,3.22525,20,20,1.5
72,1,5,15.072,0,42.6802,27.6082,0,3.2571,0,3.2571,20,20,1.5
72,1,6,18.724,0,43.1302,24.4062,0,3.0947,0,3.0947,20,20,1.5
72,1,7,9.628,14.08,44.0002,20.2922,1.78E-15,3.12025,0,3.12025,20,20,1.5
72,1,8,22.804,25.6,44.8702,0,3.5338,2.84305,0,2.84305,20,20,1.5
72,1,9,17.852,37.12,45.5098,0,9.4622,2.53435,0,2.53435,20,20,1.5
72,1,10,14.328,46.08,45.7,0,14.708,2.2792,0,2.2792,20,20,1.5
72,1,11,11.904,52.48,45.6202,0,18.7638,2.0629,0,2.0629,20,20,1.5
72,1,12,7.736,55.04,45.4,0,17.376,1.78675,0,1.78675,20,20,1.5
72,1,13,8.556,56.32,44.7598,0,20.1162,1.4763,0,1.4763,20,20,1.5
72,1,14,14.52,56.32,44.1898,0,26.6502,1.5862,0,1.5862,20,20,1.5
72,1,15,6.708,52.48,45.13,0,14.058,1.43745,0,1.43745,20,20,1.5
72,1,16,11.176,44.8,45.3202,0,10.6558,1.71185,0,1.71185,20,20,1.5
72,1,17,10.108,33.28,45.25,1.862,0,2.0734,0,2.0734,20,20,1.5
72,1,18,6.384,24.32,44.6398,13.9358,0,2.14725,0,2.14725,20,20,1.5
72,1,19,6.428,11.52,44.11,26.162,0,2.56235,0,2.56235,20,20,1.5
72,1,20,5.736,0,43.6198,37.8838,0,2.62115,0,2.62115,20,20,1.5
72,1,21,3.752,0,43.36,39.608,0,2.8749,0,2.8749,20,20,1.5
72,1,22,3.692,0,43.1302,39.4382,0,3.0282,0,3.0282,20,20,1.5
72,1,23,4.88,0,43.06,38.18,0,2.9785,0,2.9785,20,20,1.5
72,1,24,3.192,0,42.9802,39.7882,0,3.14755,0,3.14755,20,20,1.5
72,2,1,9.776,0,42.8698,33.0938,0,3.1934,0,3.1934,20,20,1.5
72,2,2,10.904,0,42.5998,31.6958,0,3.27285,0,3.27285,20,20,1.5
72,2,3,15.152,0,42.2998,27.1478,0,3.3187,0,3.3187,20,20,1.5
72,2,4,13.312,0,42.49,29.178,0,3.22525,0,3.22525,20,20,1.5
72,2,5,15.072,0,42.6802,27.6082,0,3.2571,0,3.2571,20,20,1.5
72,2,6,18.724,0,43.1302,24.4062,0,3.0947,0,3.0947,20,20,1.5
72,2,7,9.628,0,44.0002,34.3722,0,3.12025,0,3.12025,20,20,1.5
72,2,8,22.804,3.2,44.8702,18.8662,0,2.84305,0,2.84305,20,20,1.5
72,2,9,17.852,10.88,45.5098,16.7778,0,2.53435,0,2.53435,20,20,1.5
72,2,10,14.328,17.92,45.7,13.452,0,2.2792,0,2.2792,20,20,1.5
72,2,11,11.904,24.96,45.6202,8.7562,0,2.0629,0,2.0629,20,20,1.5
72,2,12,7.736,31.36,45.4,6.304,0,1.78675,0,1.78675,20,20,1.5
72,2,13,8.556,35.84,44.7598,0.3638,0,1.4763,0,1.4763,20,20,1.5
72,2,14,14.52,37.12,44.1898,0,7.4502,1.5862,0,1.5862,20,20,1.5
72,2,15,6.708,32,45.13,6.422,0,1.43745,0,1.43745,20,20,1.5
72,2,16,11.176,25.6,45.3202,8.5442,0,1.71185,0,1.71185,20,20,1.5
72,2,17,10.108,19.2,45.25,15.942,0,2.0734,0,2.0734,20,20,1.5
72,2,18,6.384,9.6,44.6398,28.6558,0,2.14725,0,2.14725,20,20,1.5
72,2,19,6.428,3.2,44.11,34.482,0,2.56235,0,2.56235,20,20,1.5
72,2,20,5.736,0,43.6198,37.8838,0,2.62115,0,2.62115,20,20,1.5
72,2,21,3.752,0,43.36,39.608,0,2.8749,0,2.8749,20,20,1.5
72,2,22,3.692,0,43.1302,39.4382,0,3.0282,0,3.0282,20,20,1.5
72,2,23,4.88,0,43.06,38.18,0,2.9785,0,2.9785,20,20,1.5
72,2,24,3.192,0,42.9802,39.7882,0,3.14755,0,3.14755,20,20,1.5
72,3,1,9.776,0,42.8698,33.0938,0,3.1934,0,3.1934,20,20,1.5
72,3,2,10.904,0,42.5998,31.6958,0,3.27285,0,3.27285,20,20,1.5
72,3,3,15.152,0,42.2998,27.1478,0,3.3187,0,3.3187,20,20,1.5
72,3,4,13.312,0,42.49,29.178,0,3.22525,0,3.22525,20,20,1.5
72,3,5,15.072,0,42.6802,27.6082,0,3.2571,0,3.2571,20,20,1.5
72,3,6,18.724,0,43.1302,24.4062,0,3.0947,0,3.0947,20,20,1.5
72,3,7,9.628,0,44.0002,34.3722,0,3.12025,0,3.12025,20,20,1.5
72,3,8,22.804,1.28,44.8702,20.7862,0,2.84305,0,2.84305,20,20,1.5
72,3,9,17.852,3.2,45.5098,24.4578,0,2.53435,0,2.53435,20,20,1.5
72,3,10,14.328,5.12,45.7,26.252,0,2.2792,0,2.2792,20,20,1.5
72,3,11,11.904,7.68,45.6202,26.0362,0,2.0629,0,2.0629,20,20,1.5
72,3,12,7.736,11.52,45.4,26.144,0,1.78675,0,1.78675,20,20,1.5
72,3,13,8.556,14.08,44.7598,22.1238,0,1.4763,0,1.4763,20,20,1.5
72,3,14,14.52,14.08,44.1898,15.5898,0,1.5862,0,1.5862,20,20,1.5
72,3,15,6.708,11.52,45.13,26.902,0,1.43745,0,1.43745,20,20,1.5
72,3,16,11.176,7.04,45.3202,27.1042,0,1.71185,0,1.71185,20,20,1.5
72,3,17,10.108,5.12,45.25,30.022,0,2.0734,0,2.0734,20,20,1.5
72,3,18,6.384,3.2,44.6398,35.0558,0,2.14725,0,2.14725,20,20,1.5
72,3,19,6.428,1.28,44.11,36.402,0,2.56235,0,2.56235,20,20,1.5
72,3,20,5.736,0,43.6198,37.8838,0,2.62115,0,2.62115,20,20,1.5
72,3,21,3.752,0,43.36,39.608,0,2.8749,0,2.8749,20,20,1.5
72,3,22,3.692,0,43.1302,39.4382,0,3.0282,0,3.0282,20,20,1.5
72,3,23,4.88,0,43.06,38.18,0,2.9785,0,2.9785,20,20,1.5
72,3,24,3.192,0,42.9802,39.7882,0,3.14755,0,3.14755,20,20,1.5
72,4,1,9.776,0,42.8698,33.0938,0,3.1934,0,3.1934,20,20,1.5
72,4,2,10.904,0,42.5998,31.6958,0,3.27285,0,3.27285,20,20,1.5
72,4,3,15.152,0,42.2998,27.1478,0,3.3187,0,3.3187,20,20,1.5
72,4,4,13.312,0,42.49,29.178,0,3.22525,0,3.22525,20,20,1.5
72,4,5,15.072,0,42.6802,27.6082,0,3.2571,0,3.2571,20,20,1.5
72,4,6,18.724,0,43.1302,24.4062,0,3.0947,0,3.0947,20,20,1.5
72,4,7,9.628,0,44.0002,34.3722,0,3.12025,0,3.12025,20,20,1.5
72,4,8,22.804,0,44.8702,22.0662,0,2.84305,0,2.84305,20,20,1.5
72,4,9,17.852,0,45.5098,27.6578,0,2.53435,0,2.53435,20,20,1.5
72,4,10,14.328,0,45.7,31.372,0,2.2792,0,2.2792,20,20,1.5
72,4,11,11.904,0,45.6202,33.7162,0,2.0629,0,2.0629,20,20,1.5
72,4,12,7.736,1.28,45.4,36.384,0,1.78675,0,1.78675,20,20,1.5
72,4,13,8.556,5.12,44.7598,31.0838,0,1.4763,0,1.4763,20,20,1.5
72,4,14,14.52,7.68,44.1898,21.9898,0,1.5862,0,1.5862,20,20,1.5
72,4,15,6.708,5.12,45.13,33.302,0,1.43745,0,1.43745,20,20,1.5
72,4,16,11.176,1.28,45.3202,32.8642,0,1.71185,0,1.71185,20,20,1.5
72,4,17,10.108,0,45.25,35.142,0,2.0734,0,2.0734,20,20,1.5
72,4,18,6.384,0,44.6398,38.2558,0,2.14725,0,2.14725,20,20,1.5
72,4,19,6.428,0,44.11,37.682,0,2.56235,0,2.56235,20,20,1.5
72,4,20,5.736,0,43.6198,37.8838,0,2.62115,0,2.62115,20,20,1.5
72,4,21,3.752,0,43.36,39.608,0,2.8749,0,2.8749,20,20,1.5
72,4,22,3.692,0,43.1302,39.4382,0,3.0282,0,3.0282,20,20,1.5
72,4,23,4.88,0,43.06,38.18,0,2.9785,0,2.9785,20,20,1.5
72,4,24,3.192,0,42.9802,39.7882,0,3.14755,0,3.14755,20,20,1.5
